Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year
Lg Rank,,15,3,6,9.0,2,6,4.0,13,20,10.0,26,24,19.0,17,2,5,7,13,10,22,22,10,2014
Year/Year,,0.1%,3.4%,2.4%,0.004,17.6%,24.8%,-0.023,-0.4%,-4.6%,0.021,-5.4%,-0.7%,-0.037,1.2%,0.6%,0.8%,3.6%,13.2%,17.6%,0.9%,1.8%,3.0%,2014
Opponent,82.0,19830,3019,6920,0.436,569,1656,0.344,2450,5264,0.465,1548,2023,0.765,878,2671,3549,1683,649,342,1232,1584,8155,2014
Opponent/G,,241.8,36.8,84.4,0.436,6.9,20.2,0.344,29.9,64.2,0.465,18.9,24.7,0.765,10.7,32.6,43.3,20.5,7.9,4.2,15.0,19.3,99.5,2014
Lg Rank,,15,9,22,4.0,8,9,3.0,16,25,3.0,23,20,25.0,14,24,20,8,22,10,11,26,10,2014
Year/Year,,0.1%,-1.0%,-0.5%,-0.002,-13.4%,-12.7%,-0.003,2.3%,4.1%,-0.008,5.7%,3.3%,0.017,-3.2%,2.9%,1.3%,-12.8%,-3.1%,-14.3%,11.0%,0.8%,-0.8%,2014
Team,82.0,19730,3410,7137,0.478,883,2217,0.398,2527,4920,0.514,1313,1709,0.768,853,2814,3667,2248,762,496,1185,1628,9016,2015
Team/G,,240.6,41.6,87.0,0.478,10.8,27.0,0.398,30.8,60.0,0.514,16.0,20.8,0.768,10.4,34.3,44.7,27.4,9.3,6.0,14.5,19.9,110.0,2015
Lg Rank,,26,1,3,1.0,2,4,1.0,10,21,2.0,23,26,9.0,23,4,6,1,4,2,18,13,1,2015
Year/Year,,-0.5%,5.4%,1.9%,0.016,14.1%,8.8%,0.018,2.6%,-1.0%,0.018,0.8%,-1.3%,0.016,-4.8%,-0.2%,-1.3%,17.6%,18.7%,21.9%,-5.0%,-8.7%,5.5%,2015
Opponent,82.0,19730,3031,7084,0.428,592,1757,0.337,2439,5327,0.458,1534,2011,0.763,963,2690,3653,1718,680,293,1329,1541,8188,2015
Opponent/G,,240.6,37.0,86.4,0.428,7.2,21.4,0.337,29.7,65.0,0.458,18.7,24.5,0.763,11.7,32.8,44.5,21.0,8.3,3.6,16.2,18.8,99.9,2015
Lg Rank,,26,10,27,1.0,6,7,5.0,15,28,1.0,25,24,27.0,27,18,24,9,25,2,5,27,15,2015
