Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year
Lg Rank,,7,12,30,1.0,14,15,12.0,12,29,1.0,15,17,14.0,30,30,30,11,2,18,16,8,12,2014
Year/Year,,0.0%,-0.2%,-1.2%,0.005,-7.3%,1.1%,-0.033,1.9%,-2.1%,0.022,0.6%,-0.2%,0.005,-7.2%,-3.7%,-4.5%,-2.3%,3.1%,-16.8%,6.0%,4.1%,-0.7%,2014
Opponent,82.0,19880,2961,6475,0.457,694,1917,0.362,2267,4558,0.497,1374,1832,0.75,886,2420,3306,1751,667,256,1369,1675,7990,2014
Opponent/G,,242.4,36.1,79.0,0.457,8.5,23.4,0.362,27.6,55.6,0.497,16.8,22.3,0.75,10.8,29.5,40.3,21.4,8.1,3.1,16.7,20.4,97.4,2014
Lg Rank,,7,6,2,16.0,24,26,18.0,2,2,20.0,9,10,5.0,17,2,2,12,23,1,2,16,5,2014
Year/Year,,0.0%,1.4%,-2.4%,0.017,11.2%,7.5%,0.012,-1.2%,-6.0%,0.024,3.4%,5.6%,-0.016,-3.8%,2.2%,0.5%,5.8%,2.8%,-2.3%,7.0%,0.1%,2.6%,2014
Team,82.0,19730,2885,6330,0.456,556,1659,0.335,2329,4671,0.499,1438,1940,0.741,747,2461,3208,1626,642,372,1214,1636,7764,2015
Team/G,,240.6,35.2,77.2,0.456,6.8,20.2,0.335,28.4,57.0,0.499,17.5,23.7,0.741,9.1,30.0,39.1,19.8,7.8,4.5,14.8,20.0,94.7,2015
Lg Rank,,26,28,30,11.0,21,19,24.0,24,25,9.0,11,10,22.0,29,28,30,30,13,18,21,14,27,2015
Year/Year,,-0.8%,-8.2%,0.9%,-0.045,-16.4%,-9.3%,-0.028,-6.0%,5.1%,-0.059,0.5%,3.0%,-0.018,19.1%,2.7%,6.1%,-12.0%,-12.3%,1.4%,0.2%,2.5%,-7.4%,2015
Opponent,82.0,19730,2960,6523,0.454,666,1887,0.353,2294,4636,0.495,1391,1905,0.73,894,2467,3361,1748,646,359,1215,1715,7977,2015
Opponent/G,,240.6,36.1,79.5,0.454,8.1,23.0,0.353,28.0,56.5,0.495,17.0,23.2,0.73,10.9,30.1,41.0,21.3,7.9,4.4,14.8,20.9,97.3,2015
Lg Rank,,26,5,1,19.0,19,20,20.0,4,1,23.0,13,16,1.0,14,2,2,11,18,8,11,8,6,2015
Year/Year,,-0.8%,-0.0%,0.7%,-0.004,-4.0%,-1.6%,-0.009,1.2%,1.7%,-0.003,1.2%,4.0%,-0.02,0.9%,1.9%,1.7%,-0.2%,-3.1%,40.2%,-11.2%,2.4%,-0.2%,2015
Team,82.0,19830,3150,6697,0.47,498,1480,0.336,2652,5217,0.508,1406,1889,0.744,807,2811,3618,1709,553,531,1155,1502,8204,2016
Team/G,,241.8,38.4,81.7,0.47,6.1,18.0,0.336,32.3,63.6,0.508,17.1,23.0,0.744,9.8,34.3,44.1,20.8,6.7,6.5,14.1,18.3,100.0,2016
Lg Rank,,11,13,27,4.0,28,28,27.0,4,9,8.0,18,14,23.0,22,6,13,23,27,1,14,4,23,2016
Year/Year,,0.5%,9.2%,5.8%,0.015,-10.4%,-10.8%,0.001,13.9%,11.7%,0.01,-2.2%,-2.6%,0.003,8.0%,14.2%,12.8%,5.1%,-13.9%,42.7%,-4.9%,-8.2%,5.7%,2016
Opponent,82.0,19830,3054,6914,0.442,605,1742,0.347,2449,5172,0.474,1356,1761,0.77,803,2580,3383,1657,612,337,1060,1608,8069,2016
Opponent/G,,241.8,37.2,84.3,0.442,7.4,21.2,0.347,29.9,63.1,0.474,16.5,21.5,0.77,9.8,31.5,41.3,20.2,7.5,4.1,12.9,19.6,98.4,2016
Lg Rank,,11,8,13,9.0,3,3,12.0,19,24,6.0,7,5,27.0,10,6,6,2,10,4,27,20,5,2016
