Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves,year
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#,
11,Erick Dampier,35,51,815,0.584,3.8,,0.989,0.708,0.225,0.034,0.022,0.011,,0.591,0.683,0.4,0.333,0.0,0.0,,0.712,,,0.281,23,,0.0,,,1,0,2011
12,Juwan Howard,37,57,592,0.44,12.3,,1.0,0.12,0.264,0.16,0.456,0.0,,0.44,0.6,0.455,0.35,0.421,,,0.745,,,0.008,0,,,,,0,0,2011
13,Mike Bibby,32,22,582,0.437,21.9,,0.302,0.048,0.008,0.032,0.214,0.698,,0.395,0.667,0.0,0.5,0.333,0.455,,0.667,0.975,,0.0,0,,0.33,0.552,,0,0,2011
14,Udonis Haslem,30,13,345,0.512,12.4,,1.0,0.174,0.128,0.244,0.453,0.0,,0.512,0.733,0.273,0.571,0.462,,,0.841,,,0.058,5,,,,,0,0,2011
15,Jamaal Magloire,32,18,158,0.591,2.9,,1.0,0.545,0.455,0.0,0.0,0.0,,0.591,0.833,0.3,,,,,0.538,,,0.136,3,,,,,0,0,2011
16,Jerry Stackhouse,36,7,50,0.25,18.1,,0.667,0.083,0.083,0.333,0.167,0.333,,0.25,1.0,0.0,0.25,0.0,0.25,,0.0,1.0,,0.0,0,,0.5,0.5,,1,0,2011
17,Dexter Pittman,22,2,11,0.333,4.7,,1.0,0.667,0.333,0.0,0.0,0.0,,0.333,0.5,0.0,,,,,1.0,,,0.0,0,,,,,0,0,2011
1,LeBron James,27,62,2326,0.531,11.5,,0.873,0.329,0.136,0.135,0.272,0.127,,0.556,0.758,0.484,0.481,0.384,0.362,,0.36,0.519,,0.092,104,,0.121,0.333,,0,0,2012
2,Chris Bosh,27,57,2007,0.487,10.6,,0.957,0.31,0.18,0.154,0.314,0.043,,0.496,0.676,0.352,0.476,0.411,0.286,,0.64,1.0,,0.09,66,,0.457,0.313,,1,0,2012
3,Mario Chalmers,25,64,1825,0.448,16.9,,0.478,0.187,0.118,0.074,0.098,0.522,,0.513,0.581,0.458,0.595,0.388,0.388,,0.262,0.891,,0.002,1,,0.285,0.419,,1,0,2012
4,Dwyane Wade,30,49,1625,0.497,9.4,,0.933,0.369,0.216,0.141,0.207,0.067,,0.513,0.673,0.453,0.415,0.358,0.268,,0.409,0.133,,0.088,63,,0.143,0.125,,1,1,2012
5,Udonis Haslem,31,64,1589,0.423,10.3,,1.0,0.345,0.098,0.221,0.336,0.0,,0.423,0.545,0.314,0.392,0.35,,,0.755,,,0.078,23,,,,,0,0,2012
6,Shane Battier,33,65,1499,0.387,17.6,,0.373,0.144,0.134,0.065,0.031,0.627,,0.468,0.571,0.385,0.368,0.556,0.339,,0.686,0.984,,0.003,0,,0.557,0.392,,0,0,2012
7,Joel Anthony,29,64,1349,0.559,3.8,,1.0,0.599,0.336,0.066,0.0,0.0,,0.559,0.681,0.392,0.3,,,,0.694,,,0.191,25,,,,,0,0,2012
8,Norris Cole,23,65,1260,0.393,12.0,,0.831,0.336,0.142,0.084,0.269,0.169,,0.417,0.523,0.281,0.395,0.364,0.276,,0.321,0.81,,0.002,1,,0.276,0.333,,1,0,2012
9,Mike Miller,31,39,752,0.435,19.4,,0.44,0.139,0.029,0.038,0.234,0.56,,0.413,0.483,0.5,0.125,0.408,0.453,,0.684,0.925,,0.005,1,,0.316,0.459,,0,0,2012
10,James Jones,31,51,666,0.38,22.9,,0.24,0.0,0.007,0.047,0.187,0.76,,0.306,,0.0,0.571,0.25,0.404,,0.727,1.0,,0.0,0,,0.421,0.333,,0,0,2012
11,Terrel Harris,24,22,318,0.349,13.7,,0.53,0.434,0.024,0.012,0.06,0.47,,0.477,0.5,0.0,0.0,0.6,0.205,,0.619,1.0,,0.036,2,,0.41,0.063,,0,0,2012
12,Dexter Pittman,23,35,301,0.468,4.3,,1.0,0.479,0.468,0.053,0.0,0.0,,0.468,0.644,0.295,0.4,,,,0.659,,,0.17,15,,,,,0,0,2012
13,Ronny Turiaf,29,13,221,0.533,7.0,,0.967,0.533,0.3,0.1,0.033,0.033,,0.552,0.75,0.222,0.667,0.0,0.0,,0.625,,,0.133,4,,0.0,,,1,0,2012
14,Juwan Howard,38,28,190,0.309,7.9,,1.0,0.309,0.345,0.145,0.2,0.0,,0.309,0.412,0.211,0.125,0.455,,,0.471,,,0.0,0,,,,,0,0,2012
15,Eddy Curry,29,14,83,0.462,2.5,,1.0,0.769,0.192,0.038,0.0,0.0,,0.462,0.5,0.4,0.0,,,,0.667,,,0.192,5,,,,,0,0,2012
16,Mickell Gladness,25,8,28,0.333,8.4,,1.0,0.333,0.0,0.667,0.0,0.0,,0.333,0.0,,0.5,,,,1.0,,,0.0,0,,,,,0,0,2012
1,LeBron James,28,76,2877,0.565,11.2,,0.812,0.373,0.133,0.105,0.202,0.188,,0.602,0.776,0.494,0.415,0.447,0.406,,0.378,0.553,,0.109,144,,0.161,0.488,,0,0,2013
2,Chris Bosh,28,74,2454,0.535,11.8,,0.918,0.294,0.133,0.128,0.363,0.082,,0.557,0.749,0.38,0.379,0.529,0.284,,0.756,1.0,,0.089,77,,0.527,0.333,,0,0,2013
3,Dwyane Wade,31,69,2391,0.521,9.5,,0.94,0.373,0.198,0.134,0.235,0.06,,0.537,0.728,0.431,0.37,0.42,0.258,,0.438,0.353,,0.093,95,,0.136,0.444,,2,0,2013
4,Mario Chalmers,26,77,2068,0.429,17.3,,0.431,0.195,0.121,0.057,0.059,0.569,,0.456,0.592,0.328,0.467,0.258,0.409,,0.375,0.829,,0.0,0,,0.269,0.481,,3,0,2013
5,Ray Allen,37,79,2035,0.449,16.9,,0.49,0.194,0.083,0.104,0.109,0.51,,0.48,0.587,0.463,0.397,0.38,0.419,,0.497,0.95,,0.006,3,,0.41,0.463,,0,0,2013
6,Shane Battier,34,72,1786,0.42,22.1,,0.127,0.058,0.041,0.017,0.011,0.873,,0.348,0.524,0.2,0.333,0.0,0.43,,0.688,0.993,,0.003,1,,0.585,0.459,,0,0,2013
7,Norris Cole,24,80,1590,0.421,12.5,,0.769,0.355,0.101,0.068,0.245,0.231,,0.44,0.543,0.256,0.379,0.385,0.357,,0.368,0.857,,0.012,4,,0.48,0.319,,1,0,2013
8,Udonis Haslem,32,75,1414,0.514,9.1,,1.0,0.418,0.088,0.183,0.311,0.0,,0.514,0.724,0.227,0.348,0.41,,,0.86,,,0.088,19,,,,,0,0,2013
9,Mike Miller,32,59,900,0.433,21.2,,0.242,0.1,0.035,0.026,0.082,0.758,,0.482,0.696,0.25,0.5,0.316,0.417,,0.519,0.959,,0.009,2,,0.314,0.364,,0,0,2013
10,Rashard Lewis,33,55,792,0.414,17.4,,0.474,0.145,0.104,0.092,0.133,0.526,,0.441,0.667,0.269,0.261,0.455,0.389,,0.519,0.98,,0.012,2,,0.58,0.434,,0,0,2013
11,Chris Andersen,34,42,624,0.577,3.5,,0.976,0.805,0.106,0.008,0.057,0.024,,0.575,0.646,0.231,0.0,0.286,0.667,,0.797,1.0,,0.35,37,,0.0,,,0,0,2013
12,Joel Anthony,30,62,566,0.515,5.3,,1.0,0.456,0.353,0.191,0.0,0.0,,0.515,0.742,0.292,0.385,,,,0.686,,,0.103,7,,,,,0,0,2013
13,James Jones,32,38,221,0.344,23.5,,0.131,0.016,0.0,0.033,0.082,0.869,,0.625,1.0,,1.0,0.4,0.302,,1.0,0.938,,0.0,0,,0.453,0.375,,0,0,2013
14,Juwan Howard,39,7,51,0.526,8.7,,1.0,0.158,0.526,0.105,0.211,0.0,,0.526,0.333,0.8,0.5,0.0,,,0.7,,,0.0,0,,,,,0,0,2013
15,Jarvis Varnado,24,8,40,0.333,4.1,,1.0,0.333,0.667,0.0,0.0,0.0,,0.333,0.0,0.5,,,,,1.0,,,0.0,0,,,,,0,0,2013
16,Josh Harrellson,23,6,31,0.444,15.3,,0.444,0.333,0.111,0.0,0.0,0.556,,0.75,1.0,0.0,,,0.2,,1.0,1.0,,0.111,1,,0.2,0.0,,0,0,2013
17,Terrel Harris,25,7,29,0.25,7.2,,0.875,0.375,0.375,0.0,0.125,0.125,,0.286,0.667,0.0,,0.0,0.0,,0.0,,,0.0,0,,1.0,0.0,,0,0,2013
18,Dexter Pittman,24,4,12,0.6,6.5,,1.0,0.2,0.8,0.0,0.0,0.0,,0.6,1.0,0.5,,,,,0.0,,,0.0,0,,,,,0,0,2013
1,LeBron James,29,77,2902,0.567,11.4,,0.774,0.399,0.123,0.084,0.168,0.226,,0.622,0.796,0.554,0.404,0.366,0.379,,0.395,0.534,,0.101,134,,0.144,0.568,,0,0,2014
2,Chris Bosh,29,79,2531,0.516,13.4,,0.771,0.28,0.106,0.109,0.276,0.229,,0.569,0.712,0.495,0.481,0.487,0.339,,0.773,0.959,,0.073,65,,0.239,0.365,,0,0,2014
3,Mario Chalmers,27,73,2178,0.454,12.7,,0.596,0.35,0.182,0.027,0.038,0.404,,0.5,0.602,0.382,0.067,0.429,0.385,,0.216,0.897,,0.007,4,,0.336,0.513,,1,0,2014
4,Norris Cole,25,82,2014,0.414,13.5,,0.652,0.322,0.104,0.05,0.176,0.348,,0.451,0.522,0.346,0.28,0.432,0.345,,0.279,0.983,,0.006,3,,0.552,0.375,,0,0,2014
5,Ray Allen,38,73,1936,0.442,18.2,,0.431,0.166,0.063,0.087,0.118,0.569,,0.53,0.622,0.471,0.511,0.438,0.375,,0.516,0.957,,0.011,6,,0.411,0.425,,3,1,2014
6,Dwyane Wade,32,54,1775,0.545,9.6,,0.958,0.353,0.198,0.158,0.248,0.042,,0.557,0.703,0.517,0.5,0.418,0.281,,0.429,0.778,,0.053,40,,0.281,0.556,,0,0,2014
7,Shane Battier,35,73,1468,0.382,20.1,,0.236,0.102,0.091,0.029,0.015,0.764,,0.492,0.643,0.44,0.375,0.0,0.348,,0.625,0.959,,0.004,1,,0.462,0.392,,0,0,2014
8,Chris Andersen,35,72,1396,0.644,4.2,,0.956,0.789,0.08,0.018,0.069,0.044,,0.662,0.747,0.182,0.4,0.316,0.25,,0.707,1.0,,0.291,78,,0.25,0.333,,1,0,2014
