Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves,year
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#,
11,Amar'e Stoudemire,33,52,762,0.566,4.8,,1.0,0.624,0.163,0.063,0.149,0.0,,0.566,0.623,0.472,0.5,0.455,,,0.712,,,0.158,34,,,,,0,0,2016
12,Josh McRoberts,28,42,595,0.372,13.4,,0.669,0.264,0.176,0.088,0.142,0.331,,0.434,0.564,0.423,0.154,0.381,0.245,,0.581,1.0,,0.061,8,,0.082,0.25,,1,0,2016
13,Beno Udrih,33,36,587,0.434,14.9,,0.783,0.171,0.046,0.27,0.289,0.217,,0.462,0.538,0.286,0.537,0.386,0.333,,0.327,0.909,,0.0,0,,0.273,0.444,,2,0,2016
14,Udonis Haslem,35,37,260,0.377,13.1,,0.852,0.197,0.115,0.213,0.328,0.148,,0.423,0.667,0.571,0.385,0.25,0.111,,0.909,1.0,,0.016,1,,0.667,0.167,,0,0,2016
15,Mario Chalmers,29,6,120,0.313,13.3,,0.656,0.313,0.188,0.031,0.125,0.344,,0.429,0.5,0.167,1.0,0.5,0.091,,0.222,1.0,,0.0,0,,0.636,0.143,,1,0,2016
16,Chris Andersen,37,7,36,0.4,15.2,,0.5,0.3,0.1,0.0,0.1,0.5,,0.4,0.667,0.0,,0.0,0.4,,0.0,1.0,,0.1,1,,0.0,,,0,0,2016
17,Jarnell Stokes,22,5,14,0.6,8.2,,1.0,0.4,0.2,0.0,0.4,0.0,,0.6,1.0,1.0,,0.0,,,0.667,,,0.0,0,,,,,0,0,2016
18,James Ennis III,25,3,7,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,2016
19,Briante Weber,23,1,3,1.0,5.0,,1.0,0.0,1.0,0.0,0.0,0.0,,1.0,,1.0,,,,,0.0,,,0.0,0,,,,,0,0,2016
1,Hassan Whiteside,27,77,2513,0.557,5.4,,1.0,0.445,0.374,0.106,0.075,0.0,,0.557,0.741,0.423,0.398,0.37,,,0.585,,,0.179,163,,,,,0,0,2017
2,Goran Dragić,30,73,2459,0.475,12.5,,0.743,0.267,0.187,0.177,0.113,0.257,,0.499,0.61,0.486,0.417,0.386,0.405,,0.204,0.658,,0.0,0,,0.211,0.426,,0,0,2017
3,Tyler Johnson,24,73,2178,0.433,13.9,,0.697,0.261,0.149,0.087,0.198,0.303,,0.46,0.595,0.439,0.292,0.374,0.372,,0.451,0.957,,0.046,35,,0.208,0.385,,2,0,2017
4,James Johnson,29,76,2085,0.479,12.4,,0.667,0.354,0.159,0.083,0.073,0.333,,0.548,0.632,0.451,0.469,0.429,0.34,,0.306,0.931,,0.049,36,,0.336,0.384,,5,0,2017
5,Rodney McGruder,25,78,1966,0.413,15.2,,0.522,0.215,0.185,0.059,0.061,0.478,,0.488,0.707,0.341,0.296,0.321,0.332,,0.47,0.986,,0.028,12,,0.541,0.345,,2,0,2017
6,Josh Richardson,23,53,1614,0.394,16.9,,0.558,0.172,0.096,0.101,0.189,0.442,,0.444,0.545,0.408,0.519,0.33,0.33,,0.354,0.933,,0.025,11,,0.26,0.475,,1,0,2017
7,Wayne Ellington,29,62,1500,0.416,22.1,,0.29,0.047,0.016,0.023,0.204,0.71,,0.509,0.846,0.444,0.154,0.478,0.378,,0.756,0.926,,0.007,4,,0.282,0.414,,1,0,2017
8,Dion Waiters,25,46,1384,0.424,13.8,,0.676,0.345,0.077,0.051,0.201,0.324,,0.438,0.507,0.294,0.235,0.429,0.395,,0.194,0.8,,0.005,3,,0.26,0.518,,2,0,2017
9,Luke Babbitt,27,68,1065,0.402,21.7,,0.253,0.043,0.032,0.1,0.078,0.747,,0.366,0.167,0.222,0.429,0.455,0.414,,0.615,0.966,,0.0,0,,0.305,0.422,,0,0,2017
10,Willie Reed,26,71,1031,0.568,4.4,,0.986,0.614,0.246,0.084,0.039,0.014,,0.573,0.703,0.386,0.333,0.273,0.25,,0.634,1.0,,0.242,63,,0.0,,,0,0,2017
11,Justise Winslow,20,18,625,0.356,10.6,,0.844,0.32,0.258,0.062,0.204,0.156,,0.384,0.472,0.379,0.214,0.304,0.2,,0.397,1.0,,0.04,7,,0.6,0.286,,0,0,2017
12,Okaro White,24,35,471,0.379,13.4,,0.609,0.322,0.126,0.08,0.08,0.391,,0.396,0.5,0.182,0.571,0.143,0.353,,0.714,1.0,,0.046,4,,0.471,0.375,,0,0,2017
13,Josh McRoberts,29,22,381,0.373,12.7,,0.737,0.288,0.144,0.144,0.153,0.263,,0.356,0.588,0.059,0.176,0.389,0.419,,0.516,0.923,,0.068,7,,0.129,0.25,,0,0,2017
14,Derrick Williams,25,25,377,0.394,13.2,,0.672,0.365,0.058,0.073,0.168,0.328,,0.489,0.52,0.25,0.7,0.435,0.2,,0.667,0.889,,0.036,4,,0.378,0.235,,1,0,2017
15,Udonis Haslem,36,16,130,0.478,8.0,,0.87,0.478,0.217,0.0,0.174,0.13,,0.55,0.818,0.4,,0.0,0.0,,0.636,,,0.043,1,,0.333,0.0,,0,0,2017
1,Josh Richardson,24,81,2689,0.451,14.9,,0.62,0.198,0.141,0.119,0.163,0.38,,0.495,0.611,0.464,0.457,0.41,0.378,,0.397,0.953,,0.025,20,,0.25,0.345,,1,0,2018
2,Goran Dragić,31,75,2378,0.45,12.3,,0.721,0.269,0.171,0.175,0.106,0.279,,0.481,0.63,0.38,0.436,0.342,0.37,,0.273,0.784,,0.0,0,,0.18,0.37,,2,0,2018
3,Tyler Johnson,25,72,2052,0.435,16.0,,0.544,0.198,0.118,0.082,0.146,0.456,,0.491,0.638,0.429,0.379,0.404,0.367,,0.532,0.95,,0.031,21,,0.287,0.366,,1,0,2018
4,Wayne Ellington,30,77,2041,0.407,22.0,,0.173,0.077,0.026,0.017,0.053,0.827,,0.479,0.648,0.278,0.333,0.378,0.392,,0.655,0.947,,0.006,3,,0.204,0.5,,1,0,2018
5,James Johnson,30,73,1943,0.503,10.9,,0.699,0.383,0.181,0.064,0.072,0.301,,0.587,0.698,0.486,0.436,0.386,0.308,,0.413,0.912,,0.094,49,,0.378,0.314,,1,0,2018
6,Kelly Olynyk,26,76,1779,0.497,14.4,,0.56,0.274,0.137,0.066,0.082,0.44,,0.59,0.782,0.46,0.381,0.346,0.379,,0.533,0.906,,0.033,20,,0.139,0.41,,1,0,2018
7,Justise Winslow,21,68,1680,0.424,10.3,,0.736,0.367,0.238,0.072,0.055,0.264,,0.44,0.564,0.379,0.2,0.222,0.38,,0.468,1.0,,0.037,15,,0.543,0.4,,5,0,2018
8,Bam Adebayo,20,69,1368,0.512,4.3,,0.979,0.624,0.232,0.082,0.041,0.021,,0.523,0.642,0.329,0.321,0.214,0.0,,0.701,,,0.294,91,,0.0,,,4,0,2018
9,Hassan Whiteside,28,54,1364,0.54,5.6,,0.997,0.434,0.33,0.151,0.081,0.003,,0.538,0.713,0.445,0.31,0.404,1.0,,0.587,1.0,,0.168,89,,0.0,,,0,0,2018
10,Dion Waiters,26,30,918,0.398,15.0,,0.585,0.246,0.124,0.046,0.168,0.415,,0.463,0.614,0.333,0.421,0.348,0.306,,0.171,0.769,,0.007,3,,0.271,0.391,,1,0,2018
11,Dwyane Wade,36,21,467,0.409,11.6,,0.834,0.275,0.186,0.142,0.231,0.166,,0.447,0.618,0.391,0.286,0.386,0.22,,0.402,0.556,,0.032,8,,0.171,0.429,,0,0,2018
12,Rodney McGruder,26,18,299,0.493,14.3,,0.521,0.219,0.178,0.055,0.068,0.479,,0.553,0.875,0.308,0.5,0.2,0.429,,0.571,0.867,,0.0,0,,0.657,0.348,,0,0,2018
13,Jordan Mickey,23,23,284,0.476,7.6,,0.805,0.5,0.232,0.037,0.037,0.195,,0.561,0.61,0.526,0.0,0.667,0.125,,0.649,1.0,,0.159,9,,0.438,0.286,,0,0,2018
14,Derrick Jones Jr.,20,14,212,0.388,10.2,,0.673,0.347,0.265,0.061,0.0,0.327,,0.485,0.647,0.385,0.0,,0.188,,0.25,1.0,,0.122,6,,0.438,0.286,,0,0,2018
15,Derrick Walton,22,16,147,0.32,24.0,,0.32,0.0,0.0,0.04,0.28,0.68,,0.125,,,0.0,0.143,0.412,,0.0,0.714,,0.0,0,,0.176,0.667,,1,0,2018
16,Luke Babbitt,28,13,145,0.234,24.2,,0.043,0.0,0.0,0.021,0.021,0.957,,0.0,,,0.0,0.0,0.244,,,1.0,,0.0,0,,0.289,0.308,,0,0,2018
17,Okaro White,25,6,80,0.438,17.6,,0.313,0.188,0.063,0.063,0.0,0.688,,0.6,0.667,0.0,1.0,,0.364,,0.333,1.0,,0.063,1,,0.364,0.25,,0,0,2018
18,Udonis Haslem,37,14,72,0.2,19.7,,0.467,0.0,0.133,0.067,0.267,0.533,,0.286,,1.0,0.0,0.0,0.125,,1.0,1.0,,0.067,1,,0.375,0.333,,0,0,2018
19,Matt Williams,24,3,11,0.333,22.8,,0.167,0.0,0.0,0.167,0.0,0.833,,1.0,,,1.0,,0.2,,0.0,1.0,,0.0,0,,0.2,0.0,,0,0,2018
1,Josh Richardson,25,73,2539,0.412,16.5,,0.552,0.176,0.125,0.131,0.12,0.448,,0.458,0.569,0.367,0.455,0.39,0.357,,0.436,0.878,,0.027,25,,0.154,0.366,,0,0,2019
2,Justise Winslow,22,66,1959,0.433,13.0,,0.658,0.251,0.236,0.107,0.064,0.342,,0.462,0.569,0.412,0.35,0.417,0.375,,0.36,0.979,,0.021,16,,0.332,0.376,,1,0,2019
3,Bam Adebayo,21,82,1913,0.576,5.2,,0.969,0.572,0.243,0.121,0.033,0.031,,0.588,0.716,0.415,0.373,0.438,0.2,,0.7,0.667,,0.257,117,,0.267,0.0,,2,0,2019
4,Dwyane Wade,37,72,1885,0.433,13.0,,0.728,0.246,0.168,0.203,0.111,0.272,,0.472,0.619,0.46,0.379,0.336,0.33,,0.333,0.547,,0.019,18,,0.268,0.429,,3,1,2019
5,Kelly Olynyk,27,79,1812,0.463,16.5,,0.434,0.246,0.113,0.037,0.037,0.566,,0.604,0.719,0.516,0.381,0.333,0.354,,0.696,0.982,,0.027,14,,0.219,0.371,,1,0,2019
6,Hassan Whiteside,29,72,1674,0.571,4.8,,0.976,0.529,0.337,0.076,0.034,0.024,,0.581,0.697,0.476,0.308,0.435,0.125,,0.614,1.0,,0.231,151,,0.5,0.125,,0,0,2019
7,Rodney McGruder,27,66,1550,0.403,15.2,,0.512,0.197,0.217,0.082,0.015,0.488,,0.453,0.582,0.4,0.316,0.286,0.351,,0.43,0.937,,0.013,5,,0.342,0.364,,1,0,2019
8,James Johnson,31,55,1164,0.433,13.2,,0.607,0.314,0.187,0.069,0.037,0.393,,0.496,0.622,0.408,0.269,0.286,0.336,,0.518,0.86,,0.069,23,,0.282,0.381,,3,0,2019
9,Derrick Jones Jr.,21,60,1153,0.494,9.0,,0.719,0.549,0.139,0.025,0.006,0.281,,0.567,0.646,0.289,0.5,0.0,0.308,,0.652,1.0,,0.231,62,,0.626,0.368,,3,0,2019
10,Dion Waiters,27,44,1138,0.414,17.8,,0.395,0.226,0.056,0.036,0.077,0.605,,0.471,0.546,0.407,0.118,0.459,0.377,,0.281,0.826,,0.0,0,,0.287,0.434,,1,0,2019
11,Tyler Johnson,26,44,1123,0.426,16.5,,0.491,0.182,0.172,0.082,0.055,0.509,,0.503,0.644,0.493,0.394,0.227,0.353,,0.606,0.986,,0.01,3,,0.147,0.3,,0,0,2019
12,Goran Dragić,32,36,991,0.413,13.8,,0.621,0.277,0.145,0.134,0.065,0.379,,0.454,0.575,0.365,0.362,0.321,0.348,,0.295,0.772,,0.0,0,,0.177,0.31,,0,0,2019
13,Wayne Ellington,31,25,533,0.375,22.1,,0.158,0.071,0.043,0.016,0.027,0.842,,0.414,0.538,0.5,0.333,0.0,0.368,,0.75,0.965,,0.0,0,,0.271,0.405,,0,0,2019
14,Duncan Robinson,24,15,161,0.391,20.8,,0.239,0.13,0.022,0.043,0.043,0.761,,0.727,0.833,1.0,0.5,0.5,0.286,,0.875,1.0,,0.043,2,,0.229,0.375,,0,0,2019
15,Udonis Haslem,38,10,74,0.333,15.0,,0.636,0.212,0.091,0.182,0.152,0.364,,0.524,0.714,0.0,0.667,0.4,0.0,,0.545,,,0.03,1,,0.167,0.0,,0,0,2019
16,Ryan Anderson,30,10,44,0.222,24.3,,0.333,0.222,0.0,0.0,0.111,0.667,,0.0,0.0,,,0.0,0.333,,,1.0,,0.0,0,,0.333,0.5,,1,0,2019
17,Yante Maten,22,2,13,0.25,9.8,,0.75,0.5,0.0,0.25,0.0,0.25,,0.333,0.0,,1.0,,0.0,,1.0,,,0.0,0,,0.0,,,0,0,2019
18,Emanuel Terry,22,1,3,0.0,2.4,,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,0,,,,,0,0,2019
1,Bam Adebayo,22,72,2417,0.557,5.8,,0.982,0.481,0.301,0.144,0.056,0.018,,0.564,0.726,0.445,0.404,0.227,0.143,,0.715,0.5,,0.219,157,,0.571,0.125,,1,0,2020
2,Duncan Robinson,25,73,2166,0.47,23.2,,0.118,0.066,0.029,0.009,0.015,0.882,,0.654,0.844,0.6,0.167,0.2,0.446,,0.83,0.963,,0.006,2,,0.234,0.493,,1,0,2020
3,Kendrick Nunn,24,67,1962,0.439,15.8,,0.572,0.201,0.141,0.109,0.12,0.428,,0.505,0.636,0.38,0.48,0.455,0.35,,0.371,0.752,,0.027,21,,0.228,0.337,,1,0,2020
4,Jimmy Butler,30,58,1959,0.455,10.0,,0.843,0.34,0.257,0.15,0.095,0.157,,0.495,0.655,0.426,0.386,0.278,0.244,,0.402,0.552,,0.074,55,,0.193,0.217,,4,0,2020
5,Goran Dragić,33,59,1663,0.441,16.2,,0.533,0.182,0.152,0.106,0.093,0.467,,0.505,0.697,0.391,0.338,0.507,0.367,,0.338,0.653,,0.0,0,,0.169,0.404,,1,0,2020
6,Tyler Herro,20,55,1508,0.428,18.0,,0.528,0.122,0.106,0.116,0.184,0.472,,0.462,0.584,0.433,0.425,0.422,0.389,,0.474,0.784,,0.005,3,,0.151,0.467,,2,0,2020
7,Derrick Jones Jr.,22,59,1375,0.527,11.2,,0.622,0.49,0.112,0.011,0.009,0.378,,0.677,0.737,0.487,0.25,0.333,0.28,,0.776,0.973,,0.275,84,,0.538,0.225,,5,0,2020
8,Kelly Olynyk,28,67,1300,0.462,17.6,,0.412,0.221,0.098,0.055,0.038,0.588,,0.543,0.693,0.359,0.455,0.267,0.406,,0.697,0.947,,0.023,9,,0.197,0.391,,1,0,2020
9,Meyers Leonard,27,51,1034,0.509,16.3,,0.453,0.235,0.141,0.06,0.017,0.547,,0.623,0.818,0.515,0.143,0.5,0.414,,0.833,0.943,,0.158,29,,0.148,0.368,,0,0,2020
10,Jae Crowder,29,20,553,0.482,20.9,,0.22,0.146,0.03,0.012,0.03,0.78,,0.611,0.667,0.6,1.0,0.2,0.445,,0.818,0.895,,0.012,2,,0.313,0.475,,1,0,2020
11,Andre Iguodala,36,21,418,0.432,16.4,,0.466,0.261,0.068,0.068,0.068,0.534,,0.585,0.739,0.333,0.167,0.667,0.298,,0.667,0.929,,0.08,7,,0.468,0.318,,1,0,2020
12,Justise Winslow,23,11,352,0.388,10.4,,0.791,0.256,0.372,0.085,0.078,0.209,,0.431,0.606,0.354,0.455,0.2,0.222,,0.5,0.833,,0.031,3,,0.296,0.125,,0,0,2020
13,Chris Silva,23,44,346,0.615,4.0,,0.962,0.679,0.205,0.051,0.026,0.038,,0.64,0.755,0.313,0.5,0.5,0.0,,0.667,,,0.269,19,,0.667,0.0,,0,0,2020
14,James Johnson,32,18,281,0.448,15.0,,0.483,0.31,0.161,0.011,0.0,0.517,,0.548,0.741,0.143,1.0,,0.356,,0.609,0.938,,0.126,8,,0.244,0.364,,1,0,2020
15,Solomon Hill,28,11,187,0.311,17.2,,0.467,0.156,0.222,0.022,0.067,0.533,,0.333,0.286,0.4,0.0,0.333,0.292,,0.143,0.857,,0.0,0,,0.208,0.4,,0,0,2020
16,Gabe Vincent,23,9,83,0.216,21.1,,0.27,0.081,0.081,0.108,0.0,0.73,,0.2,0.333,0.333,0.0,,0.222,,0.5,0.833,,0.0,0,,0.111,0.333,,0,0,2020
17,Udonis Haslem,39,4,44,0.364,10.4,,0.727,0.364,0.273,0.0,0.091,0.273,,0.375,0.25,0.667,,0.0,0.333,,1.0,1.0,,0.091,0,,0.0,,,0,0,2020
18,Dion Waiters,28,3,42,0.385,19.3,,0.346,0.192,0.038,0.0,0.115,0.654,,0.222,0.2,0.0,,0.333,0.471,,0.5,0.75,,0.0,0,,0.176,0.333,,0,0,2020
19,KZ Okpala,20,5,26,0.6,7.5,,0.8,0.4,0.4,0.0,0.0,0.2,,0.75,1.0,0.5,,,0.0,,0.333,,,0.4,2,,1.0,0.0,,0,0,2020
20,Daryl Macon,24,4,14,0.333,22.5,,0.333,0.0,0.0,0.0,0.333,0.667,,0.0,,,,0.0,0.5,,,1.0,,0.0,0,,0.5,1.0,,0,0,2020
21,Kyle Alexander,23,2,13,0.5,1.5,,1.0,1.0,0.0,0.0,0.0,0.0,,0.5,0.5,,,,,,0.0,,,0.0,0,,,,,0,0,2020
