Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves,year
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#,
15,Ognjen Kuzmić,24,16,72,0.667,7.3,,1.0,0.5,0.0,0.333,0.167,0.0,,0.667,0.667,,0.5,1.0,,,0.875,,,0.083,1,,,,,0,0,2015
1,Draymond Green,25,81,2808,0.49,10.0,,0.685,0.488,0.144,0.023,0.029,0.315,,0.537,0.618,0.339,0.368,0.292,0.388,,0.618,0.96,,0.061,47,,0.093,0.417,,1,0,2016
2,Stephen Curry,27,79,2700,0.504,17.4,,0.446,0.225,0.084,0.048,0.088,0.554,,0.566,0.696,0.422,0.447,0.443,0.454,,0.372,0.547,,0.004,7,,0.129,0.482,,11,2,2016
3,Klay Thompson,25,80,2666,0.47,16.5,,0.531,0.182,0.082,0.131,0.138,0.469,,0.51,0.687,0.336,0.423,0.455,0.425,,0.725,0.92,,0.013,15,,0.246,0.419,,4,0,2016
4,Harrison Barnes,23,66,2042,0.466,13.9,,0.662,0.227,0.147,0.104,0.183,0.338,,0.508,0.625,0.409,0.394,0.509,0.383,,0.634,0.988,,0.093,54,,0.444,0.358,,0,0,2016
5,Andre Iguodala,32,65,1732,0.478,14.5,,0.582,0.31,0.063,0.073,0.136,0.418,,0.57,0.728,0.348,0.407,0.4,0.351,,0.631,0.944,,0.141,49,,0.377,0.431,,3,0,2016
6,Shaun Livingston,30,78,1520,0.536,9.2,,0.968,0.259,0.201,0.404,0.106,0.032,,0.548,0.724,0.434,0.523,0.425,0.167,,0.473,1.0,,0.106,36,,0.667,0.25,,1,0,2016
7,Andrew Bogut,31,70,1451,0.627,2.7,,0.996,0.677,0.258,0.047,0.014,0.004,,0.626,0.757,0.375,0.231,0.25,1.0,,0.764,0.0,,0.297,78,,0.0,,,0,0,2016
8,Leandro Barbosa,33,68,1079,0.462,11.8,,0.703,0.368,0.127,0.073,0.132,0.297,,0.508,0.632,0.255,0.296,0.531,0.355,,0.682,0.974,,0.003,1,,0.309,0.5,,1,0,2016
9,Brandon Rush,30,72,1055,0.427,17.6,,0.396,0.196,0.062,0.042,0.096,0.604,,0.447,0.549,0.25,0.273,0.44,0.414,,0.891,0.908,,0.038,8,,0.42,0.364,,0,0,2016
10,Marreese Speights,28,72,832,0.432,12.5,,0.864,0.252,0.147,0.079,0.386,0.136,,0.439,0.513,0.358,0.278,0.455,0.387,,0.803,0.917,,0.05,17,,0.097,0.333,,1,0,2016
11,Festus Ezeli,26,46,770,0.548,2.9,,1.0,0.649,0.272,0.061,0.018,0.0,,0.548,0.682,0.339,0.143,0.25,,,0.816,,,0.342,68,,,,,0,0,2016
12,Ian Clark,24,66,578,0.441,14.5,,0.584,0.238,0.139,0.114,0.094,0.416,,0.5,0.625,0.357,0.391,0.526,0.357,,0.492,0.933,,0.005,1,,0.333,0.321,,0,0,2016
13,James Michael McAdoo,23,41,262,0.536,3.8,,0.976,0.643,0.226,0.06,0.048,0.024,,0.537,0.648,0.105,0.8,0.75,0.5,,0.773,1.0,,0.19,15,,0.0,,,0,0,2016
14,Anderson Varejão,33,22,186,0.438,6.5,,1.0,0.521,0.167,0.104,0.208,0.0,,0.438,0.48,0.625,0.6,0.1,,,0.667,,,0.021,1,,,,,0,0,2016
15,Jason Thompson,29,28,179,0.476,5.7,,1.0,0.405,0.381,0.167,0.048,0.0,,0.476,0.647,0.313,0.429,0.5,,,0.6,,,0.095,4,,,,,0,0,2016
16,Kevon Looney,19,5,21,0.571,12.1,,0.714,0.286,0.143,0.286,0.0,0.286,,0.6,1.0,0.0,0.5,,0.5,,0.333,1.0,,0.143,1,,0.0,,,0,0,2016
1,Klay Thompson,26,78,2649,0.468,17.7,,0.53,0.156,0.061,0.124,0.189,0.47,,0.516,0.664,0.393,0.474,0.462,0.414,,0.75,0.955,,0.004,5,,0.272,0.432,,0,0,2017
2,Stephen Curry,28,79,2638,0.468,18.4,,0.453,0.219,0.069,0.049,0.116,0.547,,0.537,0.642,0.4,0.451,0.455,0.411,,0.413,0.639,,0.003,3,,0.136,0.449,,18,1,2017
3,Draymond Green,26,76,2471,0.418,12.8,,0.595,0.394,0.138,0.035,0.031,0.405,,0.494,0.637,0.211,0.174,0.25,0.308,,0.712,0.975,,0.109,65,,0.068,0.389,,1,0,2017
4,Kevin Durant,28,62,2070,0.537,13.8,,0.696,0.268,0.116,0.161,0.151,0.304,,0.608,0.796,0.487,0.43,0.555,0.375,,0.565,0.803,,0.107,107,,0.125,0.436,,2,0,2017
5,Andre Iguodala,33,76,1998,0.528,14.1,,0.573,0.361,0.043,0.034,0.133,0.427,,0.651,0.767,0.333,0.286,0.545,0.362,,0.703,0.922,,0.195,76,,0.441,0.372,,2,0,2017
6,Shaun Livingston,31,76,1345,0.547,10.4,,0.991,0.222,0.13,0.532,0.104,0.009,,0.55,0.786,0.683,0.458,0.364,0.333,,0.512,1.0,,0.098,30,,0.0,,,1,0,2017
7,Zaza Pachulia,32,70,1268,0.534,4.8,,0.993,0.664,0.15,0.085,0.094,0.007,,0.538,0.618,0.391,0.308,0.414,0.0,,0.805,,,0.033,10,,0.0,,,1,0,2017
8,Ian Clark,25,77,1137,0.487,15.0,,0.624,0.236,0.127,0.139,0.122,0.376,,0.556,0.676,0.436,0.467,0.547,0.374,,0.667,0.967,,0.0,0,,0.294,0.333,,3,0,2017
9,Patrick McCaw,21,71,1074,0.433,15.4,,0.498,0.29,0.078,0.057,0.073,0.502,,0.533,0.69,0.421,0.286,0.222,0.333,,0.723,0.927,,0.045,10,,0.35,0.326,,0,0,2017
10,David West,36,68,854,0.536,11.1,,0.968,0.274,0.21,0.103,0.381,0.032,,0.541,0.667,0.509,0.385,0.51,0.375,,0.795,1.0,,0.044,11,,0.25,0.5,,1,0,2017
11,JaVale McGee,29,77,739,0.652,2.5,,0.991,0.777,0.188,0.019,0.003,0.009,,0.658,0.73,0.4,0.5,0.0,0.0,,0.769,,,0.417,121,,0.0,,,1,0,2017
12,James Michael McAdoo,24,52,457,0.53,5.9,,0.932,0.59,0.188,0.077,0.085,0.068,,0.55,0.667,0.364,0.444,0.2,0.25,,0.85,1.0,,0.291,31,,0.25,0.5,,0,0,2017
13,Kevon Looney,20,53,447,0.523,5.1,,0.916,0.701,0.121,0.037,0.056,0.084,,0.551,0.68,0.231,0.0,0.0,0.222,,0.833,1.0,,0.29,28,,0.0,,,0,0,2017
14,Matt Barnes,36,20,410,0.422,16.9,,0.422,0.267,0.033,0.033,0.089,0.578,,0.526,0.625,0.0,0.333,0.5,0.346,,0.85,0.944,,0.011,0,,0.385,0.45,,0,0,2017
15,Anderson Varejão,34,14,92,0.357,5.0,,1.0,0.5,0.357,0.143,0.0,0.0,,0.357,0.286,0.4,0.5,,,,0.6,,,0.0,0,,,,,0,0,2017
16,Damian Jones,21,10,85,0.5,8.4,,1.0,0.563,0.0,0.0,0.438,0.0,,0.5,0.778,,,0.143,,,0.75,,,0.188,3,,,,,0,0,2017
17,Briante Weber,24,7,46,0.357,13.9,,0.786,0.286,0.214,0.0,0.286,0.214,,0.455,0.75,0.0,,0.5,0.0,,0.2,,,0.0,0,,0.0,,,0,0,2017
1,Klay Thompson,27,73,2506,0.488,17.9,,0.558,0.121,0.054,0.14,0.244,0.442,,0.526,0.678,0.359,0.485,0.507,0.44,,0.743,0.952,,0.009,11,,0.175,0.473,,2,0,2018
2,Kevin Durant,29,68,2325,0.516,15.4,,0.662,0.179,0.096,0.201,0.185,0.338,,0.565,0.758,0.513,0.492,0.487,0.419,,0.488,0.688,,0.084,94,,0.094,0.564,,3,0,2018
3,Draymond Green,27,70,2287,0.454,13.4,,0.586,0.355,0.111,0.076,0.044,0.414,,0.562,0.695,0.391,0.362,0.259,0.301,,0.716,0.909,,0.073,39,,0.066,0.118,,3,0,2018
4,Stephen Curry,29,51,1631,0.495,18.4,,0.42,0.175,0.065,0.073,0.108,0.58,,0.595,0.669,0.429,0.54,0.613,0.423,,0.417,0.618,,0.001,1,,0.134,0.358,,8,0,2018
5,Andre Iguodala,34,64,1622,0.463,13.7,,0.634,0.313,0.113,0.081,0.128,0.366,,0.567,0.76,0.389,0.385,0.366,0.282,,0.591,0.848,,0.166,52,,0.179,0.143,,3,0,2018
6,Nick Young,32,80,1393,0.412,20.6,,0.332,0.07,0.023,0.113,0.127,0.668,,0.481,0.676,0.455,0.509,0.355,0.377,,0.641,0.886,,0.006,1,,0.279,0.396,,1,0,2018
7,Shaun Livingston,32,71,1129,0.501,9.3,,0.985,0.236,0.192,0.461,0.096,0.015,,0.509,0.716,0.47,0.437,0.424,0.0,,0.529,,,0.093,31,,0.4,0.0,,1,0,2018
8,David West,37,73,999,0.571,9.2,,0.979,0.336,0.193,0.185,0.265,0.021,,0.576,0.764,0.425,0.629,0.41,0.375,,0.761,0.667,,0.09,31,,0.125,0.0,,0,0,2018
9,Zaza Pachulia,33,69,972,0.564,4.6,,0.996,0.614,0.193,0.102,0.083,0.004,,0.567,0.654,0.431,0.519,0.318,0.0,,0.819,,,0.049,13,,0.0,,,1,0,2018
10,Patrick McCaw,22,57,961,0.409,12.9,,0.644,0.347,0.133,0.062,0.107,0.356,,0.503,0.654,0.333,0.357,0.292,0.238,,0.699,1.0,,0.058,8,,0.275,0.455,,1,0,2018
11,Kevon Looney,21,66,910,0.58,4.8,,0.974,0.627,0.202,0.073,0.067,0.026,,0.59,0.744,0.205,0.643,0.308,0.2,,0.685,1.0,,0.218,39,,0.0,,,2,0,2018
12,Jordan Bell,23,57,809,0.627,4.0,,0.978,0.703,0.13,0.103,0.043,0.022,,0.641,0.7,0.417,0.632,0.375,0.0,,0.733,,,0.292,44,,0.0,,,0,0,2018
13,Omri Casspi,29,53,740,0.58,6.1,,0.894,0.507,0.3,0.082,0.005,0.106,,0.595,0.705,0.452,0.471,0.0,0.455,,0.791,1.0,,0.053,10,,0.227,0.8,,1,0,2018
14,Quinn Cook,24,33,740,0.484,16.2,,0.587,0.183,0.091,0.123,0.19,0.413,,0.514,0.565,0.435,0.484,0.521,0.442,,0.408,0.761,,0.0,0,,0.163,0.471,,0,0,2018
15,JaVale McGee,30,65,615,0.621,4.4,,0.973,0.621,0.215,0.073,0.064,0.027,,0.638,0.75,0.489,0.25,0.5,0.0,,0.824,,,0.356,75,,0.167,0.0,,0,0,2018
16,Damian Jones,22,15,89,0.5,5.6,,1.0,0.5,0.273,0.045,0.182,0.0,,0.5,0.818,0.333,0.0,0.0,,,0.818,,,0.273,5,,,,,0,0,2018
17,Chris Boucher,25,1,1,0.0,22.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,0.0,,,,,0.0,0,,1.0,0.0,,0,0,2018
1,Kevin Durant,30,78,2702,0.521,14.9,,0.719,0.189,0.106,0.238,0.187,0.281,,0.587,0.752,0.541,0.517,0.535,0.353,,0.471,0.569,,0.087,114,,0.077,0.233,,0,0,2019
2,Klay Thompson,28,78,2652,0.467,17.7,,0.573,0.138,0.073,0.148,0.215,0.427,,0.516,0.715,0.422,0.478,0.445,0.402,,0.746,0.917,,0.019,24,,0.21,0.46,,0,0,2019
3,Stephen Curry,30,69,2331,0.472,19.7,,0.396,0.143,0.096,0.046,0.11,0.604,,0.525,0.649,0.488,0.419,0.439,0.437,,0.464,0.689,,0.002,1,,0.148,0.517,,11,1,2019
4,Draymond Green,28,66,2065,0.445,13.4,,0.609,0.358,0.135,0.066,0.05,0.391,,0.549,0.702,0.316,0.393,0.286,0.285,,0.702,0.936,,0.064,25,,0.133,0.455,,1,0,2019
5,Andre Iguodala,35,68,1578,0.5,14.9,,0.523,0.344,0.05,0.056,0.073,0.477,,0.652,0.856,0.2,0.294,0.273,0.333,,0.757,0.958,,0.228,69,,0.41,0.407,,1,0,2019
6,Kevon Looney,22,80,1481,0.625,4.7,,0.971,0.709,0.133,0.035,0.095,0.029,,0.641,0.724,0.304,0.583,0.515,0.1,,0.704,1.0,,0.314,105,,0.4,0.0,,1,0,2019
7,Jonas Jerebko,31,73,1218,0.459,16.7,,0.47,0.262,0.079,0.042,0.087,0.53,,0.563,0.667,0.286,0.6,0.484,0.367,,0.766,1.0,,0.042,14,,0.271,0.392,,1,1,2019
8,Quinn Cook,25,74,1059,0.465,17.5,,0.544,0.157,0.089,0.118,0.18,0.456,,0.515,0.609,0.436,0.442,0.519,0.405,,0.407,0.815,,0.002,0,,0.205,0.439,,1,0,2019
9,Alfonzo McKinnie,26,72,1003,0.487,12.9,,0.571,0.404,0.091,0.029,0.047,0.429,,0.586,0.685,0.32,0.5,0.308,0.356,,0.717,1.0,,0.138,33,,0.508,0.333,,0,0,2019
10,Shaun Livingston,33,64,967,0.519,8.8,,0.99,0.31,0.219,0.419,0.043,0.01,,0.524,0.677,0.478,0.432,0.556,0.0,,0.541,,,0.124,23,,0.0,,,2,0,2019
11,Jordan Bell,24,68,788,0.516,8.1,,0.99,0.484,0.109,0.172,0.224,0.01,,0.521,0.688,0.381,0.455,0.279,0.0,,0.737,,,0.198,32,,0.0,,,1,0,2019
12,DeMarcus Cousins,28,30,771,0.48,10.1,,0.744,0.415,0.251,0.035,0.043,0.256,,0.551,0.656,0.441,0.385,0.313,0.274,,0.566,1.0,,0.067,23,,0.042,0.0,,0,0,2019
13,Damian Jones,23,24,410,0.716,3.0,,1.0,0.784,0.149,0.014,0.054,0.0,,0.716,0.793,0.455,0.0,0.5,,,0.887,,,0.5,35,,,,,0,0,2019
14,Damion Lee,26,32,375,0.441,18.3,,0.465,0.134,0.094,0.094,0.142,0.535,,0.492,0.471,0.583,0.417,0.5,0.397,,0.793,0.889,,0.0,0,,0.368,0.52,,0,0,2019
15,Jacob Evans,21,30,204,0.34,16.1,,0.717,0.151,0.113,0.17,0.283,0.283,,0.368,0.375,0.333,0.556,0.267,0.267,,0.5,1.0,,0.019,1,,0.2,0.333,,0,0,2019
16,Andrew Bogut,34,11,134,0.5,4.2,,1.0,0.611,0.25,0.111,0.028,0.0,,0.5,0.591,0.333,0.5,0.0,,,0.611,,,0.167,5,,,,,0,0,2019
17,Marcus Derrickson,22,11,67,0.485,20.6,,0.394,0.091,0.061,0.121,0.121,0.606,,0.462,0.667,0.0,0.5,0.5,0.5,,0.667,0.8,,0.0,0,,0.25,0.4,,0,0,2019
1,Eric Paschall,23,60,1654,0.497,11.2,,0.798,0.33,0.22,0.1,0.148,0.202,,0.55,0.725,0.411,0.422,0.453,0.287,,0.569,0.973,,0.111,66,,0.256,0.303,,2,0,2020
2,Glenn Robinson III,26,48,1516,0.481,14.7,,0.665,0.197,0.17,0.124,0.174,0.335,,0.522,0.68,0.465,0.46,0.443,0.4,,0.773,0.912,,0.065,28,,0.371,0.429,,1,0,2020
3,Damion Lee,27,49,1423,0.417,16.9,,0.532,0.145,0.151,0.139,0.098,0.468,,0.471,0.662,0.403,0.465,0.3,0.356,,0.766,0.953,,0.01,4,,0.218,0.385,,1,0,2020
4,Alec Burks,28,48,1390,0.406,15.0,,0.627,0.213,0.168,0.128,0.118,0.373,,0.424,0.516,0.347,0.39,0.408,0.375,,0.475,0.726,,0.013,8,,0.17,0.395,,1,0,2020
5,Jordan Poole,20,57,1274,0.333,19.1,,0.472,0.129,0.094,0.086,0.163,0.528,,0.392,0.523,0.426,0.349,0.293,0.279,,0.462,0.851,,0.006,3,,0.113,0.367,,2,0,2020
6,Draymond Green,29,43,1222,0.389,15.0,,0.592,0.231,0.184,0.092,0.085,0.408,,0.465,0.685,0.31,0.414,0.259,0.279,,0.724,1.0,,0.019,6,,0.093,0.333,,0,0,2020
7,Marquese Chriss,22,59,1196,0.545,5.8,,0.899,0.613,0.223,0.029,0.034,0.101,,0.584,0.674,0.395,0.364,0.385,0.205,,0.743,1.0,,0.304,99,,0.077,0.667,,1,0,2020
8,D'Angelo Russell,23,33,1060,0.43,19.2,,0.494,0.068,0.124,0.159,0.143,0.506,,0.487,0.767,0.38,0.396,0.549,0.374,,0.275,0.608,,0.005,3,,0.09,0.483,,1,0,2020
9,Ky Bowman,22,45,1015,0.417,14.8,,0.667,0.209,0.159,0.146,0.153,0.333,,0.472,0.657,0.314,0.468,0.388,0.308,,0.446,0.727,,0.04,11,,0.234,0.44,,1,0,2020
10,Willie Cauley-Stein,26,41,940,0.56,5.7,,1.0,0.533,0.249,0.101,0.117,0.0,,0.56,0.774,0.391,0.308,0.167,,,0.764,,,0.288,70,,,,,0,0,2020
11,Omari Spellman,22,49,886,0.431,14.3,,0.627,0.305,0.112,0.078,0.132,0.373,,0.454,0.556,0.303,0.478,0.333,0.391,,0.607,1.0,,0.102,19,,0.182,0.55,,0,0,2020
12,Jacob Evans,22,27,414,0.338,16.1,,0.714,0.12,0.105,0.195,0.293,0.286,,0.337,0.375,0.214,0.385,0.333,0.342,,0.625,0.923,,0.008,1,,0.263,0.3,,0,0,2020
13,Andrew Wiggins,24,12,403,0.457,13.7,,0.686,0.239,0.202,0.101,0.144,0.314,,0.512,0.689,0.447,0.526,0.296,0.339,,0.5,0.95,,0.059,11,,0.153,0.556,,0,0,2020
14,Juan Toscano-Anderson,26,13,272,0.46,11.6,,0.635,0.397,0.19,0.016,0.032,0.365,,0.525,0.72,0.25,0.0,0.0,0.348,,0.476,1.0,,0.111,6,,0.348,0.375,,0,0,2020
15,Kevon Looney,23,20,262,0.367,9.8,,0.823,0.38,0.253,0.063,0.127,0.177,,0.431,0.7,0.2,0.4,0.1,0.071,,0.5,1.0,,0.051,4,,0.429,0.167,,1,0,2020
16,Mychal Mulder,25,7,204,0.388,21.2,,0.224,0.09,0.09,0.015,0.03,0.776,,0.667,0.667,0.667,0.0,1.0,0.308,,1.0,1.0,,0.0,0,,0.269,0.571,,0,0,2020
17,Dragan Bender,22,9,195,0.437,14.6,,0.521,0.211,0.31,0.0,0.0,0.479,,0.541,0.733,0.409,,,0.324,,0.8,1.0,,0.042,3,,0.206,0.286,,0,0,2020
18,Alen Smailagić,19,14,139,0.5,11.4,,0.675,0.325,0.25,0.075,0.025,0.325,,0.63,0.846,0.5,0.0,1.0,0.231,,0.529,1.0,,0.025,1,,0.308,0.25,,0,0,2020
19,Stephen Curry,31,5,139,0.402,19.8,,0.402,0.207,0.061,0.012,0.122,0.598,,0.636,0.706,0.4,1.0,0.6,0.245,,0.333,0.667,,0.0,0,,0.122,0.333,,0,0,2020
20,Jeremy Pargo,33,3,44,0.5,14.0,,0.682,0.273,0.136,0.136,0.136,0.318,,0.533,0.833,0.0,0.667,0.333,0.429,,0.0,0.667,,0.0,0,,0.0,,,0,0,2020
21,Chasson Randle,26,3,40,0.0,19.8,,0.5,0.0,0.0,0.25,0.25,0.5,,0.0,,,0.0,0.0,0.0,,,,,0.0,0,,0.0,,,0,0,2020
22,Zach Norvell,22,3,36,0.273,22.6,,0.273,0.0,0.091,0.091,0.091,0.727,,0.0,,0.0,0.0,0.0,0.375,,,1.0,,0.0,0,,0.125,0.0,,0,0,2020
